key;name;career;shares
jiho;Ji-ho;fighter;1
siwoo;Si-woo;fighter;0.5
rolton;Rolton;fighter;0.5
drotik;Drotik;fighter;0.5
hemia;Hemia;cleric;0.5
darfilla;Darfilla;mage;0.5
morwen;Morwen;mage;1
macnav;Macnav;fighter;0.5
dramm;Dramm;paladin;1
barnaby;Barnaby;bard;0.5
earnan;Earnan;spellthief;1
maggara;Maggara;fighter;1
beletreda;Beletreda;fighter;0.5
bardin;Bardin;rogue;0.5
grimnir;Grimnir;fighter;0.5
gurav;Gurav;fighter;0.5
borav;Borav Kograk;cleric;0.5
hodlar;Hodlar Morrgrak;rogue;0.5
korev;Korev Graker;fighter;0.5
